spiderg	paintingawai,0.805700421333	itsclair,0.793143868446	jaxonthepc,0.79126739502	chonnn,0.785060167313	iamernst,0.784685194492	mpaynor,0.784635305405	majordodson,0.781233429909	paulwilk,0.780350625515	jenwong,0.780012667179	mitz,0.778363704681	
mnizzl	ryanjustin,0.76522731781	followerlam,0.763906061649	fununless,0.753120064735	wihtout,0.738458514214	nancedotcom,0.738187432289	rakalit,0.721566557884	kenworth,0.721410632133	essendon,0.720463812351	phoneagain,0.720284879208	jenniab,0.719737052917	
msgtina	othersim,0.616419792175	iamwanderlust,0.602019548416	medsm,0.580107808113	dannielleashle,0.555481910706	shigginski,0.554626762867	sensesorri,0.554395735264	vmoneybaggz,0.552223801613	amelhuish,0.552093267441	thruno,0.551915884018	horeiblw,0.549136042595	
twitterpwn	blipe,0.594359636307	probigeorg,0.594137012959	antiiranian,0.593492984772	mmascrap,0.593130946159	nishitdf,0.58711540699	kryptonlog,0.58416891098	aemili,0.57466262579	uhatelikem,0.572044670582	nessthanthre,0.572032094002	nuggetorigin,0.570385277271	
sonyajk	quotfrapequot,0.64134478569	johnnykickstart,0.584860026836	dhogden,0.58345502615	trnding,0.572911858559	convosneez,0.571754217148	vmtn,0.562317848206	takeit,0.554522097111	mgrai,0.550615429878	aquaxpuni,0.538718819618	legenderyi,0.532290577888	
kjlhmixdown	goodnitegoodmorn,0.57454419136	akpat,0.554683864117	sunlightshadow,0.547591924667	freshner,0.514979958534	whineypollen,0.507617533207	tomorrowa,0.504088819027	eerland,0.500152945518	lateuh,0.493581026793	fsonlin,0.481495380402	mpegg,0.481375396252	
tricossascha	momdadshav,0.699339151382	samfish,0.675771594048	allhiphopcom,0.645147442818	bagusoo,0.637699604034	jgroundwat,0.6329844594	danthegoat,0.630618691444	filmproduct,0.627517163754	nprmorningprod,0.626452922821	tamaralow,0.62636578083	noviceetiquett,0.625065207481	
joshuargh	thewatchmakerfuturepurfect,0.617810368538	mondaysi,0.568738222122	afterit,0.559058189392	italyus,0.543066740036	flakebot,0.536657869816	cassiesgr,0.535375714302	kelsijeannn,0.534484267235	afyop,0.533803701401	butchjax,0.530970573425	briardesert,0.52680170536	
kevcharlton	jasssmin,0.66216725111	deeviant,0.658778727055	jelifreund,0.635236024857	lustreofhop,0.626292467117	nunumama,0.625791311264	emerickuntz,0.619558572769	pushingvis,0.610565841198	jaymeebear,0.60591584444	gembowoo,0.602845311165	yarnsticksbook,0.601947009563	
chapmanmania	kevinrz,0.888576626778	klynnwad,0.886236548424	delilit,0.880411028862	alyssarmro,0.879509150982	bjowen,0.879073262215	sbmwest,0.872579574585	kameronelain,0.872240662575	dustinmeadow,0.869937539101	jacobpucheu,0.869260728359	soobella,0.869033575058	
verrai	sqeshi,0.883319318295	salvadora,0.829913020134	xchix,0.829818129539	petitealamod,0.809695839882	sheepi,0.802217245102	misogynist,0.801963090897	jobful,0.795263051987	halffinish,0.79138469696	sweetheartif,0.789896130562	tragu,0.781533360481	
thweekend	felng,0.879831969738	jennyloui,0.871821045876	pppphhhhonnnnn,0.847933769226	bowlingim,0.845979094505	mssin,0.84202504158	heloow,0.841781973839	misng,0.840462207794	vuei,0.839302659035	goddaught,0.836895704269	quothonki,0.832071959972	
myselfbett	entertainedmi,0.765665054321	nvd,0.756921052933	myfingertipsareholdingontothecracksinourfound,0.734176754951	officelong,0.73260563612	cannni,0.727157115936	daydreamingi,0.724831223488	marcomr,0.723350942135	noylth,0.721056103706	crampsthat,0.719294726849	minsto,0.718310892582	
lewmonei	mikejohnson,0.471469134092	realtion,0.463732987642	hayleycopt,0.441655993462	niccijoycox,0.428386867046	daniellerene,0.424148648977	bradwah,0.422280967236	acidargyl,0.42102137208	merrymonteleon,0.416858464479	brendamoot,0.40399184823	larper,0.403489887714	
abbott	nsbe,0.820588588715	cameshout,0.800529003143	rockyofella,0.749491035938	pleasuresquot,0.747672736645	upgradenic,0.74286043644	justinchon,0.738863050938	curioustrib,0.737524807453	aliwhitlock,0.733757555485	chinua,0.732615172863	uall,0.731450080872	
blogathon	tofuwerri,0.721266746521	flightmiddl,0.712020277977	tuitsu,0.709429979324	annikajan,0.708878993988	ahemsever,0.7077678442	bohoho,0.706649780273	likealatt,0.705529332161	finallyyyyaft,0.702598392963	phofin,0.697360515594	tireddespit,0.696621060371	
elgar	abbeyk,0.703232169151	legato,0.668254494667	metadadaist,0.648087441921	guitarawwww,0.647567868233	pokerdo,0.633679151535	videovia,0.629283487797	fairrrrrrr,0.627765595913	neosteam,0.627738714218	quotmagicallyquot,0.62481546402	soccermom,0.622132122517	
pumpkinh	trrrrainnn,0.730763673782	missunderstood,0.717286765575	lauraoctoberina,0.716569185257	drewmg,0.715016484261	htmlrlz,0.709989190102	brittbizarr,0.70483726263	companybut,0.703973293304	nothinnnnng,0.701448142529	amackinlai,0.699539899826	redshoeartist,0.698596537113	
whilejust	againillprob,0.942159295082	aimpleas,0.828735947609	pweese,0.807124614716	moormant,0.805175900459	duquesn,0.803326010704	canessugarland,0.801452159882	flark,0.801322638988	signingy,0.800240397453	fallenvixen,0.800083220005	amwok,0.799778938293	
misscalderon	rosefest,0.644287824631	bedha,0.638013482094	skoopsl,0.633794605732	expectoratequot,0.629691004753	bringon,0.626370429993	jasson,0.621002912521	jglass,0.619985580444	slavin,0.618231534958	tmlboston,0.616565585136	hosipt,0.615644395351	
hmgtgtgtthat	veddermi,0.716813921928	billhornwohi,0.716707110405	soonhaha,0.715425610542	cimajasleepybor,0.708288252354	ashleeford,0.705901503563	amingreet,0.702888011932	baskro,0.696146607399	bearhug,0.694182991982	italyyyyi,0.693660378456	quotchainsaw,0.690311491489	
anneemanuel	selenamiss,0.86677312851	ijustmightendit,0.836534321308	ddpedlar,0.83434599638	bukann,0.811282515526	celebreti,0.796879172325	whatsyourcrim,0.790023803711	gpazytweetz,0.789331793785	nikolasivkov,0.789150953293	tweoccupi,0.784042835236	raiettei,0.778465509415	
renegoti	lmfeld,0.634689152241	josespin,0.629185199738	hotrol,0.602422475815	erikwolf,0.595024526119	wristi,0.578853487968	geneiandiaz,0.57793366909	lizzybassam,0.568422973156	allivictoria,0.567191779613	monsieurlam,0.566826701164	vr,0.565685391426	
hartluck	tholil,0.766078233719	femenin,0.762585699558	brodyjenn,0.758960366249	anniemacdj,0.750204265118	mcflyi,0.746971189976	treysongz,0.746530413628	brissi,0.736722946167	concertt,0.736664652824	makaio,0.736197829247	buffkin,0.734723806381	
lilgyrlblu	sharpstown,0.752867043018	wbre,0.734120368958	melaca,0.726077675819	bity,0.724228143692	workstuck,0.719702243805	hrut,0.714839339256	malevolentm,0.713499546051	enod,0.709541201591	millerwalt,0.707843780518	haterad,0.707589745522	
theonewitheda	gitmek,0.961408615112	istiyorum,0.954748272896	nereden,0.953135609627	marlonpark,0.949708819389	bondhur,0.94676977396	hwave,0.944726288319	relnou,0.943651914597	lifecoachmaia,0.942315518856	olho,0.941314220428	moreauphon,0.940925836563	
berwick	itinerari,0.74767768383	packign,0.730773329735	vinegartan,0.729882478714	nationwid,0.71564912796	atdamnmhmprolli,0.715022563934	tallinn,0.714993238449	thth,0.711746156216	rakho,0.709777057171	amarillo,0.709563195705	triolt,0.709559321404	
kiwichiwi	munozyvonn,0.652829885483	shilshi,0.606857299805	thecivvi,0.585544526577	actuallyyour,0.579693138599	pinkylotta,0.564800322056	bellaform,0.562847852707	dolcissima,0.560491800308	yeudeh,0.545791387558	reaction,0.527607679367	rawstarr,0.524623632431	
vampho	balladsthei,0.72737634182	schlocki,0.723887979984	estrellabonita,0.723472595215	chemistryit,0.720773160458	bodsaussi,0.719777584076	brokeh,0.714955866337	rvfd,0.71355086565	erinmelenka,0.7108502388	braken,0.710614323616	sisdewai,0.709859967232	
alexbatcupx	ilnusi,0.600005745888	aintya,0.593227207661	womenloveron,0.592180669308	gitam,0.591522574425	orionle,0.58892583847	mkmazza,0.587370753288	pichounif,0.582695662975	kkuchta,0.574245989323	diabliqu,0.573994398117	stephfortunato,0.570472657681	
perfumehow	bvlgari,0.880617797375	marisacors,0.828840970993	lydzb,0.826545953751	khrisvanadam,0.823772609234	gypsygurl,0.823726058006	mdpcoach,0.822733521461	jackcarlson,0.821971297264	justanickl,0.819811224937	tweetveri,0.819259285927	scarecrowdream,0.819219708443	
ahhhhhhhhhhhhhhhhhhhhhhhhhh	thaimaeup,0.775418579578	steevi,0.771038711071	clamshel,0.768777370453	waitam,0.767685413361	awakenedbi,0.765810132027	ughkillin,0.764465093613	kelseybrongo,0.758395195007	mizzybranson,0.758008599281	keryna,0.757512688637	raddshawn,0.756606280804	
skwerlei	juliadrab,0.706127166748	naqosaurusrexx,0.701678276062	frickxx,0.69956612587	thankss,0.696250677109	himynameisros,0.689518332481	rebekahmcfli,0.686901807785	jeffstackhous,0.674521684647	jenleclair,0.673068106174	lorenyxox,0.670628249645	dubarrymcfli,0.670136392117	
parkson	webgreg,0.594983756542	bobjuli,0.579051911831	patwallac,0.575973451138	pickksha,0.575387716293	jennyhbrown,0.566114127636	cutiehead,0.564511656761	ajaxjon,0.560637176037	homiefavth,0.557354211807	assssholeess,0.551396131516	lawrencendc,0.551384568214	
justhami	ellenperez,0.472358435392	abbie,0.408720195293	fineif,0.401002258062	dorkstar,0.371796935797	tuasmoncoeur,0.371507704258	bmwillettk,0.369784235954	irmetalhead,0.360236436129	prashastigupta,0.358994632959	kyauphi,0.357101529837	allaboutgiana,0.3562104702	
alsti	yawnbui,0.641861379147	patternsproject,0.641360878944	wolfspath,0.614052951336	radioshackcom,0.609889864922	vansmakeuprid,0.607281625271	clayposei,0.604786038399	georgeb,0.598735392094	realm,0.587290048599	starlest,0.585603117943	quotawfulquot,0.584886789322	
hmmmmmmmmmmmmmmmm	dandi,0.784456014633	drewrog,0.782870233059	soarjet,0.78118032217	missteapot,0.771307229996	lunchthat,0.765986442566	carolshear,0.763100385666	heuhuhhhuhu,0.76205933094	wwwelitecashsecretcom,0.761849880219	ptzn,0.760680437088	surrilla,0.758096694946	
manholetim	yoimfocus,0.767888307571	bfisa,0.70827370882	rodah,0.702962756157	seodubai,0.693299055099	brandipow,0.677029013634	wwwsoyfashionistacom,0.65976536274	jimmayyyi,0.647995233536	tiranw,0.647780895233	hmmagnay,0.63919365406	jodywatli,0.63750910759	
mroo	macchic,0.620050907135	nowpubl,0.613945066929	thotfullgwc,0.598598837852	johnsyweb,0.597578406334	letsbelov,0.594599366188	sleepabl,0.591175734997	benvhv,0.589093208313	therehuh,0.57795548439	kolli,0.576654434204	tulsablond,0.575863242149	
nikkisawak	alanvalek,0.587661802769	jourdanprzybyla,0.580837309361	metmerc,0.575412154198	dongsend,0.572512149811	rshanableh,0.572218418121	olgawhi,0.571227073669	filogrrl,0.570032715797	amyrosslautn,0.569829821587	cynicsand,0.566859722137	drewpeacock,0.565892457962	
donegnor	mapali,0.854248762131	quotohmygawdigottahaveyounowquot,0.845038115978	seeingyournephewintheflesh,0.841898977757	ronaldwilsh,0.840371847153	hungryhom,0.833157420158	stevepohlit,0.832775473595	tmatlack,0.831991672516	wsuch,0.831250429153	danlopez,0.829821050167	mikamean,0.828890919685	
joecascio	lumier,0.811561465263	shelbymartel,0.80818349123	evmc,0.806686878204	hearlemm,0.806544363499	inperticular,0.805950820446	trollsmyth,0.805575489998	thegrimweed,0.804856777191	usavacantland,0.804401576519	keni,0.803318500519	peapl,0.802751898766	
papersalesman	halfars,0.699799537659	kuraikitten,0.682045578957	kitchenmainten,0.667149662971	michaelgracz,0.664422929287	anekax,0.660629093647	numberagain,0.654780209064	wewew,0.648404240608	trainingalso,0.645313680172	notkyl,0.644976973534	wheddon,0.637380599976	
scaredagainquot	kellymed,0.756738781929	worlduniversedivinesuprem,0.733808040619	somethink,0.732460260391	outsmh,0.730128347874	piknic,0.71609389782	tonyd,0.715011239052	buttonlolor,0.714258909225	nileyworldtv,0.713330209255	gick,0.71049952507	cais,0.710354864597	
junucr	djbigal,0.723649859428	quotprofoundquothahahaha,0.696762621403	aprilmusick,0.693299949169	alidalei,0.691473841667	mrskemp,0.688463270664	boythat,0.685248434544	iyann,0.677589356899	foxtoledo,0.67747092247	stevodarkli,0.677126526833	lapsedcannib,0.665904462337	
momment	withoutmot,0.881791710854	chivi,0.877982676029	cloudnineandten,0.876129209995	fyurwurk,0.875075101852	surinderxx,0.873263776302	adventurequest,0.873128056526	fawkn,0.872566223145	torontoist,0.871690630913	paigekf,0.871511816978	poohh,0.8712682724	
jeremylucido	cwindon,0.882785141468	studinwel,0.853904604912	lukei,0.850905418396	shockei,0.850809216499	giantstalk,0.846502184868	vechno,0.842417359352	willlllllll,0.841219544411	jdepoyst,0.840336620808	kllybntli,0.839599609375	knowwwwww,0.839584827423	
lateamp	hukumnya,0.763000190258	entertainingyo,0.762135803699	fock,0.761147141457	ctfan,0.760965943336	glissg,0.757399439812	skibop,0.754301428795	shizainmyp,0.749553561211	alothaha,0.747982740402	danasgem,0.747572660446	thoughtsforgotten,0.746664404869	
grrri	mnusa,0.819941878319	hanaxvito,0.819582462311	duodenari,0.80449461937	beddsuch,0.804309487343	skyhom,0.801553964615	flomar,0.801187753677	mirtita,0.800247907639	cantoth,0.799169242382	lainiecook,0.797557234764	jonjonbeat,0.796595931053	
herepick	speedprovid,0.930643796921	latvia,0.705078005791	benrogersuk,0.699195802212	rewritemeblu,0.690840780735	aftertomorrow,0.689341664314	failinnngg,0.688844561577	threedai,0.687774538994	sunneysunsun,0.686311721802	ltsweet,0.686123967171	transnat,0.683355212212	
hereliescaitlin	thomir,0.674437940121	jacksmyconst,0.616405725479	cssquirrel,0.604549050331	swandag,0.597260713577	richiehickman,0.587552428246	cleversimon,0.581578493118	fritzg,0.580109119415	xoshayz,0.571113884449	twistedumbrella,0.57089215517	eatwish,0.569904565811	
wellhav	djdeliv,0.799134373665	soilderi,0.797532141209	aelimi,0.788927793503	dipalidesai,0.788378477097	ashleyandco,0.787589550018	yuhoochat,0.786040782928	awakesomebodi,0.784304738045	esmytavera,0.783948779106	massivefail,0.783835232258	ofcgood,0.780610382557	
luxofgodsgirl	aggres,0.897735595703	srod,0.890424966812	diwrnod,0.889162182808	laurennn,0.888457894325	sebiunouva,0.885593533516	seizetexa,0.884745597839	stephhhsicat,0.884594678879	jlambertmus,0.884330511093	cael,0.884302377701	killyourself,0.882763504982	
lazeru	marketingveep,0.836636185646	kcpl,0.828115463257	fareforward,0.82259696722	acele,0.822436213493	dannysghirl,0.821868062019	agnieszkassho,0.821635842323	baddelhi,0.820297837257	burninju,0.820055127144	lgesin,0.819858014584	quotgang,0.819106936455	
alexacallanta	debswilli,0.646638989449	joegoldfarb,0.629196286201	wubbi,0.627313137054	hairalmost,0.610935688019	thommunst,0.605032444	duckfiend,0.602764129639	mhmh,0.602728009224	talkntour,0.600670814514	madeofballoon,0.597734928131	nowhereugh,0.597623407841	
kayleeq	juxxdiamondz,0.883010387421	quotesourc,0.870398521423	buddythereddog,0.865236997604	wrightwai,0.863229632378	successwal,0.859305620193	paocamargo,0.858706593513	firstpagepro,0.858223080635	rdfight,0.857715249062	jucarvalhoo,0.857553839684	ibtr,0.856621563435	
leannegt	ltkayla,0.884365558624	spiggypiggi,0.881034970284	mrhotrod,0.875426888466	twitfam,0.861648082733	eroticmp,0.857892870903	freito,0.854939222336	angiessosexi,0.852808594704	quothurricanequot,0.85120755434	iseab,0.851117312908	atenjoi,0.851050138474	
penisenlargementcom	mattpalmermus,0.904396533966	mcdawg,0.900177299976	beccalefebvr,0.88569432497	imaginarymark,0.885363459587	ddddonnngggg,0.884540736675	hellcandi,0.883502423763	amazeballsamazeballsamazeballsamazeballsamazebal,0.882105708122	moniquetaylr,0.8814214468	leslierac,0.881398081779	happiesss,0.879541635513	
ltglad	togethermindbodyspirit,0.896798729897	ugt,0.756070494652	learnednot,0.743247747421	danipalmeira,0.74284350872	ffchc,0.719157993793	simpsonsclass,0.714612841606	antonymullen,0.713753044605	sahih,0.709119081497	nowlif,0.706482887268	flute,0.700761556625	
boyhei	starshipfal,0.862164735794	mondaymetro,0.832216978073	cyndi,0.767156422138	takadanobaba,0.761630058289	quotman,0.757958650589	quotmgmtquot,0.75029361248	passchal,0.749436497688	imeemfre,0.749244093895	timbal,0.748224020004	serg,0.747532427311	
kayleev	artsentertainmentcultur,0.767156481743	grax,0.758432865143	follor,0.755014002323	inaperfectwould,0.744916558266	insa,0.741507291794	stephanieelis,0.736626267433	casigu,0.73640280962	ishmaelshakur,0.732790052891	middlemem,0.732371449471	goonbutklassi,0.730738520622	
broderickbut	ottom,0.544789850712	dvphillip,0.528368651867	dqunk,0.518900871277	mcconaughei,0.518659055233	wasin,0.512950360775	macaughnahei,0.502384185791	westfalia,0.502202749252	ellerich,0.501437723637	middleton,0.499559849501	repinsreload,0.49919629097	
meetuptweetupgirlgeekdindin	russellburnham,0.857736349106	ahhthinkin,0.853841423988	bigbellywoman,0.853687167168	gbuck,0.853244483471	elizarledg,0.852025449276	candacemadam,0.850957870483	uhit,0.850558280945	emeet,0.85048776865	mfakiri,0.850158274174	boardingnic,0.849290370941	
kayleel	skatingg,0.639878034592	lukexschwartz,0.629056453705	clemo,0.625469088554	coolestcp,0.621619284153	igord,0.617843210697	jamiecouei,0.607575237751	ulrichisawesom,0.607148587704	dallyboytx,0.606011927128	kaylatheoctopi,0.60434782505	kandrew,0.594961643219	
plasticprinc	itsemilylol,0.830247163773	jmacfootbal,0.829751491547	ughthat,0.808951497078	anywayyyyi,0.805189549923	eled,0.803820431232	kategetzmnei,0.801870346069	trevsmommi,0.798490941525	ardilla,0.794831216335	awwwdamnthat,0.793780148029	imnd,0.791785538197	
swapteam	lgile,0.768592000008	stuhig,0.763736188412	quotmug,0.752661705017	myspacecomdominictrujillomus,0.750918388367	ilikecomartistnightspr,0.750039696693	emailgo,0.749475479126	fengshuidecor,0.745647072792	kalilea,0.744495034218	choronzon,0.740574359894	sparkpeep,0.740436792374	
kayleeo	thedaylight,0.773033499718	stevophilo,0.755969524384	jlhornback,0.744947910309	nandosgirl,0.735440015793	meredithhart,0.734700679779	daveoati,0.72843515873	disho,0.725719809532	tequilafabi,0.725008368492	jackyx,0.723485708237	gustaviu,0.722989022732	
ngeliatin	bagatel,0.589771270752	compridito,0.588465809822	emvidaltx,0.57844889164	shato,0.575837850571	peoplesbom,0.568753898144	rafter,0.565363287926	scriu,0.565157830715	buenosss,0.564956665039	eyemlili,0.563447892666	huhpadah,0.558942615986	
voidspac	christophergurr,0.867220044136	grourk,0.867191553116	distil,0.865967094898	sysstdoutencod,0.865135014057	cupboardi,0.862793922424	mydagui,0.862782001495	classickart,0.861663758755	istou,0.861378312111	katelynnros,0.859642148018	lrmmaglint,0.859518766403	
givemebargain	nathanjrcarr,0.731895148754	alcineyabut,0.675312876701	nawsuck,0.667018532753	homeitz,0.665784835815	outsidesigh,0.65841126442	helloxdahlia,0.655536353588	bitamok,0.654893934727	averagejoemama,0.653927624226	mishicot,0.653036296368	schandyi,0.652302742004	
mocrw	mentdonot,0.7147757411	natan,0.709536731243	badabump,0.702632546425	hungwei,0.693237543106	quotnewest,0.684544086456	xjaixjaix,0.678602397442	kogibbqquot,0.673301160336	earnieboo,0.671473562717	prargu,0.667719006538	alonehaha,0.665342211723	
belladuboi	adamr,0.835809826851	shinigamiquot,0.815650522709	revitd,0.807674109936	quotfroken,0.802170753479	imad,0.801852405071	quotmonsieur,0.801135897636	repliedlov,0.800077319145	tiftiftiffani,0.798734903336	thanksgon,0.798711061478	smilla,0.796925425529	
perversecurs	islandconnectio,0.857917308807	melhunt,0.857813000679	xomgbobdeblasio,0.856661677361	sistagirlz,0.855953216553	radric,0.855636000633	paulinagayl,0.8530189991	violetparad,0.848447322845	trainagain,0.846450507641	radomiciano,0.845160961151	megannnx,0.843697607517	
rgstr	chemistryampfrench,0.541650533676	fictionnonfict,0.52890175581	mattpark,0.522687554359	yearback,0.516172587872	stickmen,0.509862542152	sexibrownsugar,0.509152531624	adrianmuniz,0.5081127882	holidaywher,0.504069805145	forummnic,0.503074169159	readinqqq,0.502251029015	
tenish	nighttttttttt,0.615363955498	melissacumba,0.599312663078	twitterworlddd,0.598755180836	pastorsalem,0.598403811455	nbec,0.596771538258	wonderingthinkingirritatedwaitingand,0.591252565384	wwwmyspacecomgodfram,0.590948462486	finalllli,0.584618628025	adamdon,0.583525717258	quotsnooz,0.582908511162	
alyscharl	darksilvercat,0.865826249123	petard,0.864352226257	animallovereileenonlinecarlaaraujochisekareliz,0.862499594688	imlti,0.862478256226	hollywest,0.862349390984	chrisecoprint,0.859624743462	mathewi,0.859576821327	mydatahero,0.85941028595	wwwblacknightcom,0.858870506287	sjaduram,0.857870340347	
targu	cmorbutt,0.87946087122	mizzroxi,0.802648961544	vivaladian,0.801767289639	lahhh,0.799744606018	conventcrazi,0.798769533634	magnonot,0.797539234161	lpr,0.796677827835	meinen,0.796615600586	kgmuzik,0.795047461987	gordaydai,0.794604659081	
geishacat	scribblepotemu,0.821035206318	serpentair,0.819522619247	markymarc,0.8147970438	nenaduck,0.782087087631	xoxoelenaxoxo,0.780888438225	thetinyjewelbox,0.77878510952	weekendz,0.778014421463	meowreen,0.777722597122	stylishjoi,0.774150907993	libn,0.772015452385	
targt	georgeartz,0.714280366898	katiebad,0.698493719101	skaifei,0.693128228188	nightbeforefistdayatworkjitt,0.685476303101	chawli,0.682594060898	indegest,0.676624119282	kindofathingboi,0.674430012703	cookk,0.67323744297	jorowlingrock,0.671390652657	hurghada,0.670570015907	
followershaha	lezpeac,0.68904966116	followersfeelin,0.684987425804	twittapp,0.681884288788	wwwstardollcommemberlollylolli,0.673312246799	illhalo,0.6717466712	feelingswhen,0.669768452644	readingbuso,0.668413758278	theflu,0.666451990604	alivefor,0.666398048401	jdot,0.661870658398	
wwwhotspotshieldcom	proxi,0.749739468098	leifwickland,0.708579599857	login,0.68763756752	access,0.668331444263	cxfdosgi,0.666541516781	multiwebtwifac,0.651260852814	notsupport,0.650511443615	firewal,0.64845252037	isp,0.646851599216	config,0.644040465355	
talamantezlt	zaret,0.762590169907	stashana,0.680553436279	cheblack,0.679790198803	warmraini,0.675929903984	seanthebear,0.669872462749	prashad,0.656623840332	ltcorygt,0.654779553413	archaelu,0.65230846405	weeksinclud,0.646008491516	siofok,0.645284831524	
sukkresa	mutesovereign,0.963408946991	midnightif,0.735097408295	replyz,0.703569173813	kateism,0.696657538414	therealvac,0.690588116646	mrfidalgo,0.683695197105	jbrown,0.681753218174	bity,0.676127910614	shanghaiand,0.675375461578	pachecod,0.674192786217	
monjori	towtalle,0.897946119308	swedeepi,0.892715156078	pokit,0.891251921654	marytorr,0.890395402908	kingcash,0.887677907944	babybear,0.887539505959	jibon,0.887352347374	adamlar,0.887189626694	merlotmondai,0.886950612068	nrm,0.886433601379	
snuggler	heathershea,0.846611857414	shnapp,0.834157943726	shaymari,0.831076741219	tnia,0.829754412174	mizerableaid,0.826979517937	yyelizz,0.826903879642	knowwwwww,0.825615048409	chineselaundri,0.825284123421	marji,0.824807286263	therealzyannah,0.824152588844	
bhaddqlamour	diqqin,0.79848241806	fanfan,0.703791499138	ttso,0.698061227798	sisterampdad,0.695526838303	izzyboi,0.693879723549	quotwhoopooquot,0.689043879509	quotgirllllllquot,0.688692927361	tedfoo,0.685518980026	rantsandrav,0.681356430054	ifailatpickupscom,0.681184589863	
pleasejust	colorful,0.92560094595	ennatha,0.908013701439	whatwhatwhat,0.901100754738	brownlak,0.901065826416	bebeisi,0.900316894054	sinfestnet,0.89974206686	applegeekscom,0.899703323841	dojmi,0.89966917038	jahan,0.899354100227	isimli,0.899175167084	
wwwjanicehungcom	quotdesign,0.659344494343	signatur,0.626541852951	shoesquot,0.616305828094	ibstruct,0.615502476692	hungmi,0.608596026897	scheinfeld,0.606321692467	pollygeege,0.605591058731	shoppingor,0.603760361671	tubagu,0.602207660675	woothem,0.601004302502	
saturncarescom	robertfoehl,0.812103331089	shatterquot,0.74801170826	joyu,0.736522197723	paperbreakfast,0.733538091183	eula,0.730402350426	cakelyn,0.7276263237	dayassum,0.727201044559	volkscheck,0.725281357765	thirstywat,0.71096098423	heartgoodniteyal,0.707659363747	
gaelteacht	connemara,0.876080274582	gsherman,0.78448343277	unlimet,0.780957460403	roblobu,0.780810594559	rakeman,0.774925291538	ultd,0.771027505398	inasad,0.764744877815	adelecomput,0.764076888561	bluecandylov,0.756303906441	paintinglisten,0.754047870636	
macmaz	spindlyon,0.758245110512	mamaseason,0.746754467487	akilahahsant,0.745576381683	omfgitsbrook,0.742686390877	guipulp,0.742049098015	velux,0.733455181122	readinglaptop,0.726488947868	wofrench,0.724611520767	jwlau,0.720664978027	danielzarick,0.711036622524	
tidepool	swaz,0.683990836143	bonfirel,0.66217315197	grrrrno,0.651600897312	nancykh,0.603621482849	slamtiltuk,0.602224051952	swam,0.598945379257	yolonda,0.590017437935	quotdrownededquot,0.589600622654	pondquot,0.587584257126	kiddosfun,0.584074258804	
cartilidg	emmahutton,0.825190782547	eagerli,0.746761202812	hephephoorai,0.714374542236	verdict,0.713530898094	kevingspacei,0.710153281689	grindag,0.708319067955	tweetsjez,0.697991490364	northerngirl,0.692958235741	pecaste,0.678150177002	basicon,0.677888512611	
katrinahelen	louiegonzal,0.7903226614	colligan,0.790172576904	thedavidblais,0.786262333393	quotsatellitequot,0.779293477535	jmorrison,0.779275000095	ihatey,0.778647661209	davedai,0.777819514275	edinburghhh,0.776967525482	quotwelcom,0.776708364487	jensinspir,0.775705456734	
harryampdanni	partlt,0.962976098061	freakilici,0.73399746418	wwwpurevolumecomkillparadis,0.715300917625	ju,0.71109688282	guysssssssss,0.705398261547	collegekid,0.692509412766	oich,0.68944132328	gudeven,0.688105165958	morrowyayi,0.684124469757	monamarvel,0.683677256107	
sellplz	wellrepres,0.666234791279	bevmo,0.637315034866	monkquot,0.625192523003	joycelinkhoo,0.611066818237	runout,0.611040949821	jewelleri,0.605831742287	sinex,0.604703903198	wedobsess,0.602614939213	cookbook,0.601311266422	handbag,0.600603997707	
yourthecutest	bryanbast,0.832223653793	allisonbean,0.829383969307	dallastweet,0.825864672661	vintagebxtch,0.825341582298	openboxmus,0.824653625488	bornswift,0.823008775711	britishxo,0.819474339485	toddmclain,0.818785905838	kelren,0.816421508789	wrapsol,0.813327550888	
ahhggg	ahnh,0.540670514107	yesterdayor,0.53588873148	drumwork,0.528450727463	udiep,0.522446572781	wmuscl,0.518194377422	ljmorefield,0.516981422901	aspenstudio,0.511475682259	macclickch,0.510745584965	nailss,0.510727822781	freddydeanda,0.509220898151	
richhhh	specialcream,0.645182013512	spilira,0.636316180229	jbaldwin,0.632385969162	keetoom,0.631976008415	roelmor,0.631728470325	shortwet,0.628646850586	caregroup,0.627915143967	craptv,0.626256585121	ughcrunchi,0.62457382679	setmi,0.624153017998	
janeybel	eftspiritcoach,0.807578861713	larisabelliveau,0.800583362579	wendywitwoo,0.796956300735	alittlebit,0.791075587273	margeinovera,0.790150761604	girija,0.783879876137	readyit,0.782383859158	egstrup,0.78186750412	danaji,0.781438887119	justashlei,0.781373798847	
musicunwiredd	trump,0.82363986969	donald,0.814133882523	trumpdonald,0.747156977654	bearkmm,0.711069941521	kuchar,0.703304886818	filet,0.698955953121	clam,0.686110019684	bedprepar,0.681664943695	operacion,0.675456345081	odesbubbl,0.672947466373	
equestriangrl	swineish,0.682891726494	lizlugo,0.67266201973	shith,0.67070555687	greatestandwish,0.664654791355	fajc,0.661133646965	landaux,0.660039424896	dreamobscen,0.656280755997	allyjulia,0.65008187294	sleepydont,0.641988873482	calvinho,0.638810217381	
