stock	equity,0.525099
father	son,0.893309
Gonna	yeah,0.687346
environment	climate,0.600992
favorite	best,0.48356
overrun	infest,0.465694
rhythm	rhythmic,0.568397
text	page,0.478544
terror	terrorism,0.852211
oversight	supervision,0.593532
southwest	southeast,0.922658
division	unit,0.484249
string	rash,0.504931
jerk	idiot,0.539754
unfamiliar	familiar,0.581371
sloppy	shoddy,0.591987
embark	undertake,0.562516
mourn	grieve,0.785213
merit	meritorious,0.492915
kitten	puppy,0.780557
cook	bake,0.612863
ma	ya,0.58719
fullest	utmost,0.451436
blast	explosion,0.781582
exact	precise,0.644718
minute	hour,0.615788
room	upstairs,0.62265
dim	bright,0.591214
din	clatter,0.612865
spun	spin,0.642286
level	threshold,0.522169
did	not,0.686444
die	perish,0.645585
Global	world,0.574401
dizzy	numb,0.551088
democrat	republican,0.631585
leave	stay,0.578709
item	piece,0.444571
collect	gather,0.560066
robber	thief,0.736222
team	squad,0.678017
quick	swift,0.620843
movie	film,0.867677
sidewalk	street,0.696841
dip	plunge,0.679296
round	seed,0.437196
prevent	deter,0.697783
brave	courageous,0.741477
regret	sorrow,0.622821
attic	basement,0.651742
sigh	yawn,0.517152
discover	find,0.681352
sign	signify,0.367112
inland	north,0.549804
Test	exam,0.506585
thinker	philosopher,0.615388
cost	price,0.507635
radar	surveillance,0.396522
Deficit	surplus,0.581501
utter	unmitigated,0.611363
patient	physician,0.605658
helpless	powerless,0.726812
bake	cook,0.612863
fort	castle,0.558295
tempest	controversy,0.564247
Red	yellow,0.751919
hymn	poem,0.616665
afghanistan	iraq,0.729323
Head	director,0.518734
appear	seem,0.598975
silly	stupid,0.764663
trivial	insignificant,0.702531
medal	bronze,0.626822
havoc	chaos,0.529746
maine	missouri,0.576317
current	future,0.462577
rub	lick,0.526828
health	nutrition,0.554561
suspect	assailant,0.610604
somalia	libya,0.620311
seventh	sixth,0.979276
drunkard	alcoholic,0.564836
appeal	injunction,0.458312
boost	bolster,0.71335
pose	face,0.440074
abscond	flee,0.491527
camel	goat,0.522923
guardian	guardianship,0.596536
Age	adult,0.477366
mali	ethiopia,0.580958
disillusion	cynicism,0.564683
french	france,0.632606
confer	bestow,0.608782
disclaim	assume,0.467449
detest	despise,0.826346
baseball	football,0.6162
twentieth	tenth,0.765223
shameless	blatant,0.689557
address	solve,0.503041
alone	just,0.403763
along	across,0.476107
stem	curb,0.581657
teacher	elementary,0.679056
change	alter,0.672353
dice	gamble,0.437747
box	bag,0.422349
boy	girl,0.854327
lebanon	syria,0.690629
yemen	syria,0.643682
sheriff	county,0.577523
shove	smack,0.510799
brilliant	marvelous,0.738947
endow	endowment,0.502993
Dead	death,0.507604
bow	bend,0.397764
Super	monster,0.388535
trial	prosecution,0.600207
priceless	precious,0.637004
weird	strange,0.816458
shook	shaken,0.632834
pillow	comforter,0.569997
reclaim	regain,0.762665
homeward	inward,0.388684
love	loved,0.690779
extra	additional,0.598273
hopeful	optimistic,0.766012
prefer	want,0.638657
keeper	stopper,0.629538
fake	bogus,0.742246
marker	plaque,0.506568
crime	violence,0.535717
market	industry,0.550541
trinidad	kenya,0.532169
wealth	riches,0.558822
prove	disprove,0.548026
sake	betterment,0.41033
joyous	joyful,0.818249
visit	trip,0.595099
abroad	foreign,0.553254
expend	devote,0.615236
live	listen,0.426536
upheld	uphold,0.567039
keen	eager,0.645081
criteria	criterion,0.790033
scope	extent,0.51691
sharpen	strengthen,0.505554
encroach	intrude,0.649925
climax	conclusion,0.48701
today	tomorrow,0.650993
wicked	devilish,0.627356
plug	fix,0.406798
commissioner	secretary,0.547295
diurnal	plasticity,0.422031
african	africa,0.68028
afford	subsidize,0.511613
india	indian,0.696704
Weapon	gun,0.614319
apparent	obvious,0.707203
due	because,0.555235
oval	race,0.39515
oregon	arkansas,0.677291
clue	know,0.543004
downtown	city,0.619815
visual	sensory,0.568849
drown	suffocate,0.526036
rigid	inflexible,0.702467
Virtual	imaginary,0.423103
Time	day,0.512919
advise	consult,0.637455
given	gave,0.648852
effort	attempt,0.643588
easiest	easy,0.610909
behalf	congratulate,0.402337
piano	violin,0.822819
beaver	coyote,0.564663
demolish	renovate,0.68458
clamor	outcry,0.56321
car	vehicle,0.78211
foremost	paramount,0.503894
cap	hat,0.426871
flu	infection,0.530581
soul	goodness,0.493785
believer	proponent,0.613379
cat	dog,0.760946
strain	burden,0.556563
soup	dessert,0.581694
hardest	worst,0.526536
sour	bitter,0.481644
can	could,0.721196
royal	monarch,0.662358
tragic	tragedy,0.779517
mill	plant,0.553597
carolina	tennessee,0.627393
laughter	mirth,0.671883
chapter	verse,0.419943
most	one,0.543128
streak	slump,0.470309
claim	assertion,0.597396
crazy	mad,0.738584
stream	torrent,0.485916
predict	speculate,0.560712
chip	card,0.362348
fuck	goddamn,0.699395
agent	agency,0.444722
topic	issue,0.552596
heard	hear,0.753151
stroke	heart,0.481406
intransigent	obstinate,0.636061
coincident	anomalous,0.545292
sharp	steep,0.536108
indirect	direct,0.621789
chic	fashionable,0.746971
hydrogen	fuel,0.498191
occur	happen,0.660862
craze	phenomenon,0.588789
pink	purple,0.725391
purr	growl,0.636909
scar	gash,0.574643
winter	summer,0.715552
lifeless	motionless,0.558307
savor	revel,0.659317
discussion	debate,0.701126
psychiatrist	psychologist,0.801409
sudden	abrupt,0.553239
meager	paltry,0.808136
write	read,0.630653
till	until,0.661045
sunday	saturday,0.776454
vital	crucial,0.820772
cardinal	pope,0.660331
sword	knife,0.557602
swore	swear,0.690207
Dumb	stupid,0.817313
unforgettable	memorable,0.763039
sworn	oath,0.632824
dope	drug,0.510654
undertook	undertaken,0.69678
crucifix	chapel,0.463101
map	atlas,0.645671
product	brand,0.50095
designer	design,0.578134
paramount	imperative,0.600969
mat	cage,0.514116
cocktail	dinner,0.496562
confess	admit,0.720977
fascist	socialist,0.666739
dive	plunge,0.547449
fed	feed,0.608912
scoff	bristle,0.639704
brazen	audacious,0.618672
constraint	limitation,0.563437
membership	member,0.490267
mankind	humanity,0.716427
date	calendar,0.437703
such	these,0.543587
data	statistics,0.537886
eighth	seventh,0.956958
repeat	repetition,0.488222
man	woman,0.766401
relinquish	abdicate,0.564963
stress	anxiety,0.614293
aimless	sullen,0.493376
noun	verb,0.719559
waist	chest,0.503039
liquid	fluid,0.502116
conscious	cognizant,0.52111
maybe	yeah,0.719215
explicit	ambiguous,0.529418
tale	story,0.685308
opinionated	outspoken,0.556343
switch	shift,0.51466
truck	van,0.72528
crept	creep,0.672215
swollen	sore,0.461718
skirmish	scuffle,0.686749
tall	towering,0.592645
nixon	norway,0.549338
bunk	bed,0.565616
talk	speak,0.622128
refund	rebate,0.603498
cute	adorable,0.790222
shield	protect,0.652443
gradual	rapid,0.583284
forfeit	lose,0.437813
midnight	noon,0.647603
playful	affectionate,0.659574
brain	liver,0.561013
Damn	darn,0.785636
lyric	song,0.742568
pitch	mound,0.520292
equip	deploy,0.511162
White	black,0.809222
still	now,0.609119
pointer	basket,0.612264
worship	prayer,0.645963
tore	broke,0.613882
avid	ardent,0.660743
overhaul	reform,0.638865
thumb	finger,0.63588
panacea	cure,0.550357
comic	comedy,0.686071
torn	tore,0.598594
hot	cool,0.515115
platform	framework,0.450087
window	door,0.62128
suspicion	accusation,0.433544
farmer	grower,0.728464
World	globe,0.6946
factual	truthful,0.532337
tory	britain,0.494628
deviant	depraved,0.609306
Sister	daughter,0.781477
lonely	lonesome,0.659568
halt	standstill,0.626842
thereby	thus,0.771895
civilian	military,0.663742
nod	assent,0.492708
Socialist	socialism,0.784905
rake	reap,0.448553
shatter	obliterate,0.576557
nation	country,0.724287
technician	mechanic,0.621809
lunch	meal,0.706219
flint	wood,0.47565
disappoint	dazzle,0.587826
not	do,0.712573
now	still,0.609119
provision	amendment,0.611914
hall	room,0.499673
teller	robber,0.622609
possess	covet,0.508082
wagon	tractor,0.564665
term	long,0.417806
name	nickname,0.522319
feverish	breathless,0.584085
opera	ballet,0.643704
frank	candid,0.800545
drop	decline,0.686986
sweetheart	daddy,0.456554
beg	ask,0.543698
peasant	agrarian,0.578048
careless	reckless,0.622543
shy	bashful,0.542384
quarter	half,0.592265
quartet	ensemble,0.553687
realism	immediacy,0.544595
domain	realm,0.414765
eyelid	eyebrow,0.556258
ailment	malady,0.72269
scheme	program,0.484077
receipt	payment,0.468828
yeah	maybe,0.719215
ordain	consecrate,0.564099
contributor	contribution,0.51846
molecular	nuclei,0.538207
persian	arab,0.526575
sponsor	backer,0.467044
begun	began,0.693058
year	month,0.765331
distributor	supplier,0.662075
girl	boy,0.854327
affluent	wealthy,0.693785
surprise	shock,0.571144
hysteria	madness,0.562364
canada	australia,0.735946
naked	nude,0.755884
canvas	painter,0.480428
accomplish	achieve,0.70618
concur	agree,0.713155
space	room,0.406587
profit	revenue,0.582935
oklahoma	minnesota,0.697356
thirst	appetite,0.618396
lad	youngster,0.709521
boundless	limitless,0.748039
priest	bishop,0.793475
trauma	traumatic,0.592995
rational	irrational,0.643066
formula	method,0.49417
correct	incorrect,0.646564
she	her,0.783468
lag	delay,0.440293
monster	monstrous,0.693378
Pregnant	pregnancy,0.706482
hull	vessel,0.637245
contain	constitute,0.46621
Cover	defray,0.445123
Record	mark,0.507469
flyer	poster,0.501623
california	arizona,0.631231
rebel	guerrilla,0.655922
plea	plead,0.587841
grandma	grandmother,0.780591
facial	skin,0.556465
card	passport,0.441405
care	medical,0.480949
casework	constituent,0.34602
workmanship	durability,0.475507
waiter	restaurant,0.560682
kuwait	egypt,0.532163
gusto	vigor,0.708531
british	american,0.673247
honest	frank,0.654184
motion	resolution,0.475436
thing	something,0.634607
place	spot,0.522356
aboard	ship,0.503765
swing	swung,0.49889
view	viewpoint,0.645996
phobia	aversion,0.576368
think	know,0.734421
frequent	infrequent,0.63763
permit	permission,0.621165
emotion	emotional,0.602275
feign	pretend,0.511617
suspend	cancel,0.646692
waver	falter,0.575255
motel	hotel,0.661712
spoken	spoke,0.694868
question	answer,0.585762
Detail	meticulous,0.457614
yourself	you,0.769867
clumsy	awkward,0.570005
long	short,0.576843
spanish	english,0.651327
vote	ballot,0.621582
ring	mat,0.419478
drove	ran,0.620735
open	close,0.463651
tomorrow	tonight,0.700188
languish	wallow,0.479234
sheep	cattle,0.697213
little	bit,0.807483
boulevard	street,0.61635
sheet	paper,0.459934
wrath	fury,0.606817
district	county,0.594446
width	thickness,0.661255
meaningful	tangible,0.562745
caught	catch,0.65422
breed	herd,0.425222
callous	heartless,0.745506
plastic	metal,0.510887
anyone	anybody,0.823907
checker	helper,0.383983
seeker	giver,0.397189
draft	pick,0.460765
leap	jump,0.65797
escort	limousine,0.434581
convention	congress,0.49057
white	black,0.809222
cite	attribute,0.575287
friend	buddy,0.697249
hug	kiss,0.602507
pomp	grandeur,0.510124
way	how,0.51685
cope	handle,0.574959
season	weekend,0.547945
moscow	russian,0.627937
suit	complaint,0.521664
discreet	quiet,0.498402
snatch	grab,0.689381
broadcast	television,0.705045
Tough	difficult,0.677745
lazy	slothful,0.577508
holder	bearer,0.451383
than	more,0.725321
CARE	medical,0.480949
wide	across,0.478738
Love	loved,0.690779
co	joint,0.347745
rival	competitor,0.5679
stammer	shyness,0.53656
yet	not,0.596928
recruit	recruitment,0.611542
mindful	cognizant,0.783145
were	are,0.741537
badger	squirrel,0.528984
asleep	awake,0.588217
extinguish	fire,0.524817
counselor	therapist,0.611778
oath	sworn,0.632824
russia	russian,0.6432
tractor	truck,0.690791
prospect	possibility,0.579866
lick	bite,0.537021
angel	cherub,0.504752
pro	amateur,0.41031
premier	preeminent,0.574739
sag	droop,0.615325
argument	assertion,0.604436
slap	smack,0.524982
sad	unfortunate,0.627209
dash	scamper,0.422025
threw	thrown,0.726206
say	believe,0.718893
slam	hit,0.460382
Call	phone,0.477758
rent	rental,0.704767
anger	resentment,0.783703
breakfast	dinner,0.700703
sap	erode,0.422338
saw	came,0.561432
bait	fish,0.55197
sat	sit,0.705906
coach	captain,0.528867
hasten	accelerate,0.580828
clung	cling,0.652741
squat	crouch,0.454438
veteran	newcomer,0.452417
malta	greece,0.651033
note	letter,0.428338
emphasis	focus,0.663991
wretch	bastard,0.516181
take	took,0.665005
interior	design,0.459391
destroy	obliterate,0.729304
concern	worry,0.612923
blunt	forceful,0.589387
channel	network,0.456011
dread	foreboding,0.606984
begin	commence,0.724442
sure	know,0.59945
pain	discomfort,0.708605
trace	locate,0.524112
normal	abnormal,0.522609
track	record,0.436783
price	premium,0.530873
knew	thought,0.729336
compress	compression,0.617898
paid	pay,0.739472
risen	fallen,0.738052
assault	attack,0.59701
mutton	lamb,0.638145
pair	two,0.585013
knee	ankle,0.896999
america	american,0.716936
lawn	garden,0.598337
dream	dreamer,0.53722
proud	pleased,0.712361
blockhead	dunce,0.52713
sale	sold,0.643534
order	necessary,0.416048
scowl	smile,0.58677
nuclear	atomic,0.813234
senior	junior,0.664512
salt	sand,0.467749
shop	store,0.684484
Denial	rejection,0.514448
shot	shoot,0.602124
usurp	subvert,0.567376
show	shown,0.496888
german	germany,0.680957
cheap	inexpensive,0.70099
What	how,0.682036
friction	tension,0.719781
veranda	porch,0.612761
trespass	harassment,0.455812
bright	dim,0.591214
therapist	psychologist,0.697021
shoe	slipper,0.599448
hack	stab,0.427487
threshold	level,0.522169
corner	inside,0.454992
label	brand,0.424755
mister	sir,0.580093
Roll	pull,0.484897
hustler	guy,0.516771
trot	prance,0.44379
slot	spot,0.520971
righteous	righteousness,0.730069
slow	sluggish,0.654639
ratio	average,0.485316
unkind	rude,0.569693
stair	stairway,0.585651
favor	oppose,0.524999
deck	porch,0.50806
proportion	percentage,0.574971
enough	sufficient,0.604431
junior	freshman,0.779181
sultan	king,0.586482
only	one,0.598293
wood	timber,0.662209
black	white,0.809222
enthusiasm	excitement,0.72452
stain	taint,0.564254
wool	silk,0.543543
shrill	hysterical,0.612866
first	second,0.797189
inventor	invention,0.68831
dissimilar	similar,0.609744
viewpoint	perspective,0.734551
get	got,0.724483
straggler	pursuer,0.36593
cannon	rifle,0.516173
lighten	lessen,0.51958
jazz	music,0.683464
mission	objective,0.465076
tailor	custom,0.478676
cheat	cheater,0.57857
progress	improvement,0.50196
prime	main,0.413154
reveal	disclose,0.66977
aluminum	steel,0.724327
artist	painter,0.763712
leather	silk,0.567212
seldom	often,0.732942
borrow	lend,0.539929
yield	rate,0.378047
morning	afternoon,0.884962
joker	rascal,0.499333
stupid	dumb,0.817313
landlord	tenant,0.74414
through	into,0.56233
bought	sold,0.770371
where	outside,0.56911
woke	awoke,0.850449
husband	wife,0.829417
staff	personnel,0.587717
Shoulder	knee,0.734855
concert	festival,0.54931
burst	explode,0.45748
float	balloon,0.390369
Bite	bitten,0.563448
eighteenth	seventeenth,0.756908
tranquil	serene,0.81395
seat	incumbent,0.431489
unfit	unsuitable,0.587837
college	university,0.638527
seal	secure,0.445178
utopian	utopia,0.714316
stigma	stereotype,0.506199
calendar	schedule,0.505017
sport	football,0.481244
diver	swimmer,0.718856
wonder	ponder,0.581648
planet	earth,0.680285
detect	detection,0.659249
parent	parental,0.461987
steadfast	unwavering,0.789717
morocco	switzerland,0.454417
review	evaluation,0.603554
ornament	decoration,0.597392
forecast	outlook,0.670192
outside	inside,0.696411
kilometer	mile,0.725848
bureau	agency,0.53532
joy	exhilaration,0.680383
import	export,0.721895
dreamer	visionary,0.567338
across	throughout,0.615642
pitiless	merciless,0.685656
fight	battle,0.702129
august	venerable,0.460048
useful	helpful,0.778556
fearless	tenacious,0.629017
preach	pray,0.511674
flow	stream,0.435465
blame	scapegoat,0.556281
adept	adroit,0.702078
concentrate	focus,0.731355
spare	extra,0.460648
invite	invitation,0.598985
Team	squad,0.678017
comeback	revival,0.468069
spark	spur,0.625598
come	go,0.660468
oust	topple,0.687003
libya	syria,0.662426
many	several,0.674265
trader	broker,0.524153
quiet	calm,0.6278
contract	agreement,0.587852
temper	composure,0.433723
unforeseen	unexpected,0.672839
tour	trip,0.567452
gospel	evangelism,0.511003
inward	outward,0.643708
delirium	stupor,0.48228
penal	judicial,0.483012
Investment	investor,0.631927
evict	expel,0.574993
comer	newcomer,0.614383
pakistan	india,0.681517
madness	craziness,0.669112
spoil	ruin,0.663556
cancer	disease,0.660315
adroit	adept,0.702078
color	texture,0.532834
pot	dope,0.407628
curt	brusque,0.628303
insist	argue,0.658792
exploit	capitalize,0.62396
hope	hopeful,0.680433
cancel	cancellation,0.732419
freak	crazy,0.496791
endeavor	effort,0.575933
comprehend	fathom,0.770824
tamper	interfere,0.507581
boat	canoe,0.716395
mare	filly,0.892027
unusual	uncommon,0.672635
Pain	discomfort,0.708605
chad	massachusetts,0.470118
lioness	rhinoceros,0.514652
harmless	harmful,0.512324
stretch	road,0.483066
west	east,0.965322
rebuild	restore,0.651317
vacation	honeymoon,0.612991
slum	ghetto,0.483811
mark	record,0.507469
breath	blood,0.405634
workshop	forum,0.541985
peaceful	peaceable,0.654403
technical	technological,0.469264
reflex	instinctive,0.546384
engine	cylinder,0.543487
direction	toward,0.478259
devilish	diabolical,0.671345
reaction	response,0.68321
thousand	hundred,0.832317
valor	gallantry,0.734127
tantrum	outburst,0.48021
dangerous	hazardous,0.680368
tiger	elephant,0.668144
wake	woke,0.500838
proven	prove,0.526689
Action	decisive,0.378438
instant	instantly,0.626038
careful	cautious,0.648397
former	veteran,0.442318
those	these,0.735444
countless	innumerable,0.792326
case	prosecution,0.52175
shaft	mine,0.481064
myself	me,0.688633
amend	amendment,0.606026
personnel	staff,0.587717
tribal	tribe,0.774303
supportive	receptive,0.569396
cash	money,0.615122
trick	tactic,0.515764
cast	ensemble,0.443452
cure	remedy,0.567059
editorial	article,0.59986
joke	funny,0.628193
scum	vile,0.53344
mound	inning,0.559471
cherub	angelic,0.584938
region	country,0.601515
Arrogant	egotistical,0.730616
zenith	pinnacle,0.715834
soil	sediment,0.487217
Good	great,0.729151
them	us,0.707445
equal	unequal,0.542268
cluster	density,0.381627
exalt	glorify,0.555875
clutter	hassle,0.444075
graceful	elegant,0.654998
kenya	uganda,0.665506
fame	notoriety,0.695523
worry	fret,0.733312
tourist	visitor,0.601434
develop	build,0.681414
harsh	harshest,0.670055
etc	etc.,0.810807
media	press,0.60132
bowl	cup,0.402673
confidant	mentor,0.554459
same	similar,0.517454
check	verify,0.452961
gentlemen	gentleman,0.652527
ya	gonna,0.661606
poetic	lyrical,0.721822
speech	sermon,0.499749
document	letter,0.519456
unemployed	jobless,0.813683
pan	fry,0.397737
breakdown	collapse,0.42387
rome	italy,0.567354
finish	win,0.559634
swiss	french,0.526604
singapore	malaysia,0.647722
applaud	commend,0.800952
nest	bird,0.481301
foam	adhesive,0.529245
driver	motorist,0.61522
companion	lover,0.488254
driven	motivated,0.485352
devoid	bereft,0.736018
fruit	grape,0.616684
barber	butcher,0.543134
speechless	ecstatic,0.587168
tradition	ritual,0.542388
nag	moan,0.41271
costa	spain,0.570653
drain	sink,0.451646
theater	opera,0.581759
pennsylvania	massachusetts,0.652322
no	whatsoever,0.682725
Slap	smack,0.524982
uproar	outcry,0.817897
demean	belittle,0.732685
congressmen	congressman,0.684292
reward	bounty,0.518985
dimension	element,0.564595
scholarship	college,0.540439
taxi	bus,0.610123
summer	spring,0.765077
outdoor	recreation,0.444749
affair	romance,0.521876
livestock	cattle,0.812366
prowl	lurk,0.500965
being	be,0.553392
fume	grumble,0.529215
battleship	submarine,0.604013
slime	mud,0.506848
rest	remainder,0.587691
Ban	prohibition,0.731501
steamer	ship,0.549629
kill	destroy,0.596459
scrape	rub,0.484367
aspect	element,0.69668
abrupt	sudden,0.553239
touch	contact,0.427762
polish	sparkle,0.522293
flavor	taste,0.66302
speed	mph,0.497597
Christ	christianity,0.589255
blow	knock,0.496866
sprang	sprung,0.777157
death	murder,0.641523
Kick	goal,0.438684
shrewd	astute,0.767607
rose	fell,0.768852
regent	chancellor,0.559093
senseless	wanton,0.572387
except	else,0.492
instrument	organ,0.518647
dipper	wench,0.367186
pile	heap,0.737881
treatment	therapy,0.652915
overthrow	topple,0.689095
stagnant	sluggish,0.61471
struck	hit,0.578173
bread	butter,0.641726
disrupt	impede,0.646618
pill	prescription,0.568559
momentum	impetus,0.515214
real	genuine,0.587619
northeast	northwest,0.902393
frown	sneer,0.514767
spectacular	magnificent,0.674823
read	write,0.630653
ruler	monarch,0.62599
virginia	tennessee,0.664634
gonna	yeah,0.687346
period	quarter,0.503627
dark	gray,0.593557
earnest	begin,0.446353
snarl	growl,0.506382
traffic	congestion,0.619252
darn	damn,0.785636
detract	distract,0.657619
tie	tying,0.612715
stunt	maneuver,0.401879
snare	snatch,0.518343
execution	execute,0.645824
lady	woman,0.628879
grim	bleak,0.843025
dare	hesitate,0.573548
boast	brag,0.626456
snore	sleep,0.581038
stranger	someone,0.418837
sneer	wince,0.57296
twin	two,0.428744
roll	pull,0.484897
shutter	shut,0.44021
chamber	legislature,0.407944
benefit	reap,0.522885
either	or,0.682377
Hack	stab,0.427487
output	production,0.655494
tower	skyline,0.493111
nice	good,0.683609
obstruct	impede,0.718895
falsehood	untruth,0.755654
sleepless	awake,0.562037
verbal	nonverbal,0.430992
witchcraft	witch,0.639187
ascend	climb,0.653491
draw	drawn,0.636606
pacific	asia,0.498536
intend	want,0.60323
stagecoach	wagon,0.510531
intact	unaltered,0.575925
ascent	climb,0.643381
extinct	disappear,0.455474
gross	total,0.447281
slice	pie,0.565683
mood	tone,0.563035
confirm	verify,0.615944
sudan	ethiopia,0.51205
monitor	evaluate,0.575728
noon	midnight,0.647603
lend	lent,0.724335
seaman	seamen,0.673925
legal	litigation,0.538369
moon	planet,0.502479
pioneer	visionary,0.518582
throat	stomach,0.541957
Person	someone,0.665736
exit	departure,0.503803
inject	transform,0.492517
underworld	mob,0.530848
gladden	excite,0.430314
baptism	baptize,0.526638
porter	waiter,0.543941
refer	describe,0.585765
football	baseball,0.6162
wheat	grain,0.763942
reasonable	unreasonable,0.626712
power	electricity,0.580757
poem	poetry,0.706502
sixth	seventh,0.979276
ration	bread,0.378535
broker	trader,0.524153
slaughter	extermination,0.568601
Drive	drove,0.512014
squall	storm,0.627828
broken	broke,0.681215
leadership	leader,0.565986
bravado	cockiness,0.706038
hectic	busy,0.673526
Rock	rocker,0.546863
standpoint	perspective,0.683611
thailand	indonesia,0.623456
throw	threw,0.65222
companionship	intimacy,0.513061
comparison	contrast,0.656236
stone	marble,0.659505
patent	copyright,0.491471
central	western,0.601131
tease	amuse,0.513629
jeep	van,0.63238
island	peninsula,0.629023
jeer	cheer,0.54001
hiatus	lull,0.420612
drag	depress,0.469107
Trade	import,0.4517
janitor	carpenter,0.519309
wolf	grizzly,0.694122
stand	stood,0.5549
neighbor	friend,0.559369
act	behave,0.456176
bond	bail,0.587883
or	either,0.682377
road	highway,0.697248
tribe	tribal,0.774303
outlook	forecast,0.670192
dagger	sword,0.51706
burial	funeral,0.680021
ward	hospital,0.410115
nazi	fascist,0.657628
rice	wheat,0.630833
hanger	airplane,0.45293
lively	delightful,0.608692
strip	bar,0.376099
your	you,0.780891
pamper	indulge,0.493894
stare	gaze,0.690132
fast	quick,0.570161
burglar	thief,0.807032
log	register,0.469096
her	she,0.783468
immense	enormous,0.878667
gleam	glisten,0.58722
glean	deduce,0.571689
there	no,0.620957
totalitarian	totalitarianism,0.706439
brute	brutish,0.654302
stark	grim,0.593894
start	begin,0.685395
drank	drink,0.666645
insurance	annuity,0.537447
Letter	statement,0.610229
series	string,0.416306
hen	fox,0.510065
hysterical	shrill,0.612866
admit	confess,0.720977
verb	noun,0.719559
hard	tough,0.634288
mischief	mischievous,0.540628
jug	bottle,0.694511
fanatic	fanatical,0.648485
regard	relation,0.604988
sore	soreness,0.717645
cabinet	ministerial,0.591529
shroud	veil,0.60332
land	property,0.59815
recoil	wince,0.51981
upbeat	optimistic,0.694573
mice	mouse,0.589688
with	between,0.441372
Plain	simple,0.487177
handsome	suave,0.520133
pull	put,0.560087
hire	employ,0.610902
curtail	restrict,0.728256
romantic	romance,0.746485
rage	anger,0.61679
default	bankruptcy,0.448463
flirt	seduce,0.525295
esteem	reverence,0.535931
feeler	overtures,0.46723
grasp	comprehend,0.634308
conqueror	warrior,0.520186
deadlock	stalemate,0.82044
powerless	helpless,0.726812
affection	admiration,0.6998
beware	wary,0.618108
toilet	lavatory,0.749038
ruffian	drunkard,0.521615
oxen	tractor,0.475072
citizenship	naturalization,0.661438
fright	scare,0.523084
taste	flavor,0.66302
frighten	terrify,0.769231
pole	rod,0.407332
censor	censorship,0.730971
deep	shallow,0.527501
an	another,0.530592
alarm	alert,0.499131
Hot	cool,0.515115
deem	consider,0.524842
at	near,0.517013
file	folder,0.483
lifetime	lifelong,0.496718
mover	gainer,0.442151
horse	mare,0.662196
match	game,0.648575
bishop	priest,0.793475
film	movie,0.867677
fill	replace,0.511904
tedious	tiresome,0.751551
abyss	despair,0.518119
idiot	stupid,0.655143
deserve	want,0.535639
compel	persuade,0.589027
repent	repentance,0.654911
event	festival,0.544676
rubber	plastic,0.45199
tight	tough,0.42539
vietnam	iraq,0.603374
you	your,0.780891
fruitless	futile,0.789423
championship	title,0.755984
authoritarian	autocratic,0.78373
oneself	yourself,0.69819
congress	parliament,0.506892
shelter	refuge,0.639427
symbol	symbolize,0.559971
time	day,0.512919
drift	creep,0.576027
brandy	gin,0.61603
important	vital,0.708433
peak	zenith,0.568989
brotherhood	fraternal,0.589538
roosevelt	columbia,0.440813
brass	horn,0.395634
prudent	sensible,0.611454
range	variety,0.476043
pool	pond,0.45549
diction	grammar,0.538003
fiscal	budgetary,0.601818
bulk	portion,0.453228
unbind	remove,0.345168
wife	husband,0.829417
invest	investment,0.620339
thorn	bane,0.40624
groom	bride,0.675821
Yeah	maybe,0.719215
Point	juncture,0.485145
principal	superintendent,0.55495
repay	repaid,0.749559
mast	tower,0.477152
mass	masses,0.434142
missouri	indiana,0.693293
alright	okay,0.887754
nutrient	calcium,0.62595
oral	verbal,0.401159
original	actual,0.428972
demo	demonstration,0.476009
represent	comprise,0.546165
all	these,0.620512
nepal	thailand,0.617965
liar	hypocrite,0.689844
forget	remember,0.729627
vile	disgusting,0.759728
maximum	minimum,0.692794
suburban	suburb,0.752522
lack	dearth,0.672776
dollar	currency,0.680923
month	week,0.83652
sunk	sank,0.704586
thoughtful	respectful,0.612754
bequeath	inherit,0.61416
zinc	copper,0.691983
communist	communism,0.676493
dish	dessert,0.611749
follow	adhere,0.512503
research	study,0.62382
religious	religion,0.722646
sung	sang,0.769906
dreadful	horrid,0.822928
overturn	nullify,0.578534
corps	corp,0.4954
gymnast	gymnastic,0.671226
weed	pest,0.498133
whoever	somebody,0.62661
spirit	ethos,0.574535
tail	hind,0.534799
foster	nurture,0.541691
device	portable,0.523507
painter	artist,0.763712
Theft	stolen,0.72098
scratch	scrape,0.432653
malaysia	singapore,0.647722
smile	grin,0.860401
volunteer	outreach,0.484406
crest	flood,0.447763
norm	commonplace,0.682525
ghana	nigeria,0.661125
sound	noise,0.507956
tatter	rumple,0.49437
woman	man,0.766401
appointment	appoint,0.591459
worse	better,0.6249
straightforward	simple,0.746017
song	lyric,0.742568
far	much,0.589333
kremlin	moscow,0.458673
horror	fright,0.508009
earliest	sometime,0.480459
award	accolade,0.708128
fat	diet,0.501867
focus	concentrate,0.731355
toss	throw,0.582175
medicine	medical,0.567144
psychologist	psychiatrist,0.801409
candid	frank,0.800545
worst	best,0.583511
fall	drop,0.591252
awful	horrible,0.759767
labor	union,0.531564
ticket	fare,0.436895
difference	discrepancy,0.552527
enter	entry,0.551796
Wild	crazy,0.471568
condition	hospital,0.468493
cheerful	cheery,0.787263
heaven	heavenly,0.619277
dictatorship	dictator,0.692964
forth	back,0.43976
list	number,0.4129
outrun	overpower,0.526118
