stock	inventory,0.428718
teeth	tooth,0.622063
push	pull,0.48114
serious	major,0.442225
Empire	underworld,0.378994
backward	forward,0.396323
subvert	undermine,0.57473
peacock	feather,0.427913
befriend	coerce,0.48946
doctor	dentist,0.687812
chain	crucifix,0.38684
impression	indication,0.42953
dance	ballet,0.520952
rob	chad,0.461477
hurl	throw,0.51155
rod	rob,0.430895
eldest	dad,0.434736
invent	create,0.454779
hawaii	florida,0.629715
mild	slight,0.558456
supplement	nutrition,0.502503
grateful	thankful,0.779357
skin	flesh,0.457005
chair	desk,0.54968
rot	suffocate,0.406961
midst	amidst,0.519767
row	section,0.370722
ballet	gymnastic,0.529655
uneven	cumbersome,0.42392
depend	rely,0.739705
zone	area,0.31057
foe	for,0.463157
flash	stick,0.326451
father	mother,0.609391
Gonna	gone,0.493444
environment	environmental,0.496405
favorite	favourite,0.863607
overrun	inundated,0.557044
rhythm	jazz,0.472907
text	reply,0.52016
terror	terrorism,0.597408
oversight	reform,0.510538
southwest	northwest,0.674797
division	league,0.479007
string	rope,0.407142
jerk	loser,0.484451
unfamiliar	familiar,0.530552
sloppy	nasty,0.412198
embark	capitulate,0.413901
mourn	grieve,0.490072
merit	distinction,0.490645
kitten	puppy,0.647762
cook	bake,0.541165
ma	my,0.517895
fullest	utmost,0.388729
blast	fun,0.369508
exact	same,0.505795
minute	hour,0.548054
room	basement,0.569401
dim	dark,0.378054
din	nag,0.491697
spun	slid,0.498174
level	degree,0.403844
did	do,0.506037
die	dying,0.466607
Global	international,0.493912
dizzy	drowsy,0.549382
democrat	republican,0.775664
leave	left,0.478825
item	product,0.391064
collect	distribute,0.45061
robber	burglar,0.611827
team	squad,0.595619
quick	fast,0.544147
movie	film,0.719684
sidewalk	driveway,0.468594
dip	plunge,0.4157
round	around,0.562456
prevent	reduce,0.62611
brave	courageous,0.515638
regret	resent,0.400378
attic	basement,0.588974
sigh	ugh,0.561371
discover	explore,0.495609
rhineland	south-america,0.630631
sign	symbol,0.413017
inland	southeast,0.469902
Test	exam,0.628949
thinker	dreamer,0.403584
cost	price,0.488414
radar	missile,0.404326
Deficit	surplus,0.498728
utter	absolute,0.652794
patient	considerate,0.439859
helpless	powerless,0.52282
bake	cook,0.541165
fort	deleware,0.36247
tempest	enchantment,0.383056
Red	blue,0.626479
hymn	song,0.426203
afghanistan	syria,0.57851
Head	chest,0.472076
appear	seem,0.460919
silly	stupid,0.655566
trivial	mundane,0.541564
medal	trophy,0.467893
favour	favor,0.769911
havoc	chaos,0.514745
maine	kentucky,0.51026
current	recent,0.573561
rub	lick,0.541204
health	nutrition,0.597967
suspect	robbery,0.479448
somalia	sudan,0.591894
seventh	ninth,0.714121
drunkard	traitor,0.481102
appeal	acquittal,0.471589
boost	increase,0.625425
pose	pout,0.39889
abscond	ostracize,0.50816
camel	horse,0.495221
guardian	telegraph,0.553445
Age	maturity,0.414396
mali	algeria,0.647605
disillusion	dogmatism,0.527383
french	spanish,0.711981
confer	convene,0.449228
disclaim	characterise,0.611613
detest	despise,0.696357
baseball	football,0.676882
twentieth	nineteenth,0.662532
shameless	deception,0.464165
address	answer,0.408351
alone	lonely,0.443968
along	through,0.407798
stem	plasticity,0.401255
teacher	professor,0.691273
change	adapt,0.467637
dice	vale,0.331741
box	bag,0.474501
boy	girl,0.572887
lebanon	kuwait,0.566206
yemen	iraq,0.595965
sheriff	senator,0.500735
shove	throw,0.577225
brilliant	fantastic,0.673777
endow	vouchsafe,0.529234
odour	odor,0.579801
Dead	dying,0.409917
bow	feather,0.388953
Super	supper,0.475859
trial	investigation,0.516142
priceless	hilarious,0.497081
weird	strange,0.699511
shook	tore,0.457718
pillow	blanket,0.523129
reclaim	regain,0.561437
homeward	voyage,0.385229
love	adore,0.606738
humour	humor,0.743672
extra	additional,0.535594
hopeful	optimistic,0.637328
prefer	rather,0.530624
keeper	defender,0.445765
fake	false,0.47351
marker	pen,0.442098
crime	violence,0.490792
market	economy,0.506313
trinidad	meek,0.52241
wealth	riches,0.528679
prove	disprove,0.467489
sake	goodness,0.371639
joyous	joyful,0.653511
visit	join,0.392284
abroad	cyprus,0.4225
expend	exert,0.479229
live	stream,0.372221
upheld	admissible,0.523792
keen	eager,0.527645
criteria	requirement,0.526208
scope	rifle,0.413556
sharpen	refine,0.446652
encroach	capitulate,0.60056
climax	unsureness,0.369859
today	yesterday,0.576475
wicked	brilliant,0.418326
plug	cord,0.445439
commissioner	minister,0.567348
diurnal	unimpaired,0.593574
african	indian,0.632256
afford	handle,0.476367
india	pakistan,0.721939
Weapon	rifle,0.515877
apparent	obvious,0.517677
due	despite,0.390762
oval	adjustable,0.432722
oregon	michigan,0.694014
clue	idea,0.437455
downtown	waterfront,0.518301
visual	visualization,0.445151
drown	suffocate,0.510384
rigid	utilitarian,0.469678
Virtual	digital,0.443982
Time	unsteadiness,0.377796
advise	advice,0.710064
given	gave,0.503763
effort	progress,0.43313
easiest	hardest,0.589658
behalf	denunciation,0.423241
piano	violin,0.724808
beaver	trout,0.480704
demolish	destroy,0.594363
clamor	impotency,0.432042
car	truck,0.651477
foremost	preeminent,0.405063
cap	hat,0.431618
flu	sickness,0.571665
soul	heart,0.432017
believer	believe,0.435464
cat	dog,0.721537
strain	ailment,0.438968
soup	tea,0.548222
hardest	easiest,0.589658
sour	stale,0.480467
can	could,0.709451
royal	imperial,0.42309
tragic	shameful,0.566773
mill	meek,0.428848
carolina	michigan,0.628132
laughter	excitement,0.468827
chapter	verse,0.418756
most	more,0.392338
streak	mentality,0.347551
claim	deny,0.428016
crazy	insane,0.678793
stream	streamer,0.41228
predict	foresee,0.548506
chip	cookie,0.39391
fuck	screw,0.543226
agent	advisor,0.483368
topic	subject,0.576706
heard	herd,0.646571
stroke	recurrence,0.440114
intransigent	vexatious,0.623384
coincident	coincidence,0.534265
sharp	stiff,0.367336
indirect	slanderous,0.39754
chic	stylish,0.490505
hydrogen	nuclei,0.433799
occur	happen,0.592803
craze	epidemic,0.434967
pink	purple,0.72013
purr	growl,0.443632
scar	bruise,0.558689
winter	summer,0.593782
lifeless	useless,0.51948
savor	cherish,0.454117
discussion	debate,0.692885
psychiatrist	psychologist,0.612681
sudden	exhilaration,0.397891
meager	paltry,0.591181
write	wrote,0.597855
till	until,0.838112
sunday	saturday,0.791996
vital	crucial,0.69435
cardinal	catholic,0.39556
sword	knife,0.549958
swore	sworn,0.576738
Dumb	stupid,0.812754
unforgettable	memorable,0.475211
sworn	swore,0.576738
michigan	kansas,0.754731
undertook	overrode,0.544265
crucifix	rope,0.420016
map	radar,0.384567
product	supplement,0.42778
designer	design,0.520749
paramount	merchantile,0.362032
mat	mar,0.338143
cocktail	wine,0.518629
confess	admit,0.532433
fascist	communist,0.617317
dive	swim,0.43282
fed	woken,0.401794
scoff	sneer,0.483241
brazen	blatant,0.491965
constraint	dissention,0.534315
membership	subscription,0.551735
mankind	humanity,0.576817
date	marry,0.413951
such	utter,0.375018
data	information,0.50483
eighth	seventh,0.683413
repeat	remind,0.341456
man	woman,0.557068
relinquish	usurp,0.529288
stress	anxiety,0.487716
aimless	arduous,0.441388
noun	verb,0.627896
waist	neck,0.472766
liquid	fluid,0.453865
conscious	conscience,0.560874
maybe	perhaps,0.705053
explicit	ambiguous,0.505659
nosey	ignorant,0.506716
tale	story,0.577759
opinionated	outspoken,0.566974
switch	change,0.450619
truck	car,0.651477
crept	sprang,0.489179
swollen	sore,0.610075
skirmish	scuffle,0.513256
tall	muscular,0.515937
nixon	president-elect,0.390859
bunk	shelf,0.397661
talk	speak,0.482733
refund	tax,0.533107
cute	adorable,0.702817
shield	captivation,0.376236
gradual	systematic,0.419052
forfeit	concede,0.441058
midnight	noon,0.568645
playful	mischievous,0.518605
brain	liver,0.484692
Damn	goddamn,0.766021
lyric	song,0.531292
pitch	unlikelihood,0.38521
equip	equipment,0.443671
White	black,0.686816
still	also,0.474038
pointer	point,0.346207
worship	praise,0.488869
tore	torn,0.473514
avid	sociology,0.401573
overhaul	reform,0.597911
thumb	finger,0.609408
panacea	bituminous,0.463298
comic	comedy,0.442339
torn	tore,0.473514
hot	cute,0.418718
platform	strategy,0.440043
window	door,0.61114
suspicion	insinuation,0.446319
farmer	farm,0.453552
World	universe,0.492614
factual	conclusive,0.530692
tory	labour,0.632249
deviant	nihilistic,0.428531
Sister	brother,0.823451
lonely	miserable,0.524982
halt	liberalize,0.416084
thereby	thereupon,0.471739
civilian	military,0.546441
nod	shrug,0.417465
Socialist	communist,0.668976
rake	fork,0.372604
shatter	collapse,0.430053
nation	organization,0.444259
technician	engineer,0.719109
lunch	dinner,0.727237
flint	chicago,0.481081
disappoint	offend,0.473483
not	unsolve,0.380997
now	already,0.387867
provision	equalization,0.506264
hall	room,0.403602
teller	clerk,0.424492
possess	have,0.432348
wagon	train,0.394565
term	phrase,0.470599
name	nickname,0.584654
feverish	sickly,0.500072
opera	theatre,0.452417
frank	meek,0.387316
drop	throw,0.410913
sweetheart	darling,0.585909
beg	ask,0.472337
peasant	commoner,0.548696
careless	heartless,0.446873
shy	timid,0.440973
quarter	half,0.498311
quartet	orchestra,0.446471
realism	abstraction,0.51962
domain	assuredness,0.45127
eyelid	eye,0.542601
ailment	illness,0.587411
scheme	program,0.495253
receipt	refund,0.440241
yeah	yea,0.858165
ordain	demean,0.529147
contributor	editor,0.468861
molecular	theoretical,0.497904
persian	russian,0.562462
sponsor	host,0.41459
begun	began,0.574412
year	month,0.615191
distributor	manufacturer,0.57129
girl	boy,0.572887
affluent	wealthy,0.539255
neighbourhood	neighborhood,0.730101
hysteria	outrage,0.482088
canada	australia,0.6328
naked	nude,0.628227
canvas	fabric,0.504976
accomplish	achieve,0.63663
concur	agree,0.628504
space	storage,0.388736
profit	revenue,0.659532
oklahoma	iowa,0.707547
thirst	thirsty,0.532931
lad	mate,0.666617
boundless	measureless,0.449385
priest	clergyman,0.495757
trauma	traumatic,0.486734
rational	logical,0.646577
formula	supplement,0.41023
correct	incorrect,0.599559
she	he,0.779378
lag	pta,0.363927
monster	giant,0.414446
Pregnant	pregnancy,0.44742
hull	manchester,0.575845
contain	endear,0.430842
Cover	version,0.394789
striven	industrialize,0.563044
Record	title,0.33008
flyer	poster,0.367556
california	florida,0.654011
rebel	rebellious,0.428661
plea	plead,0.427472
grandma	grandpa,0.784284
facial	treatment,0.43718
card	certificate,0.405599
care	concern,0.411689
casework	pacification,0.624562
workmanship	affability,0.555543
waiter	janitor,0.450409
kuwait	egypt,0.580501
gusto	din,0.41026
british	scottish,0.654801
honest	truthful,0.56515
motion	movement,0.351578
thing	person,0.413672
place	spot,0.454767
aboard	submarine,0.364518
swing	slide,0.437731
view	vantage,0.416436
phobia	fear,0.453239
think	thought,0.482311
frequent	infrequent,0.585228
permit	license,0.629005
emotion	sorrow,0.447742
feign	adulterate,0.435457
suspend	expell,0.452751
waver	falter,0.42603
motel	hotel,0.514512
spoken	spoke,0.537718
question	answer,0.458723
Detail	elaboration,0.41466
yourself	themselves,0.739197
clumsy	indecisive,0.519935
long	short,0.474184
spanish	english,0.754423
vote	nominate,0.432413
ring	rang,0.462251
drove	rode,0.63012
open	close,0.42829
tomorrow	saturday,0.577736
languish	encroach,0.576551
sheep	cow,0.50675
little	wee,0.52747
boulevard	parkway,0.483649
sheet	paper,0.442365
wrath	vengeance,0.420641
district	county,0.523976
width	diameter,0.59286
meaningful	profound,0.528367
caught	catch,0.489113
breed	race,0.357422
callous	vexatious,0.568849
plastic	rubber,0.49275
anyone	anybody,0.880927
checker	aggregation,0.361196
seeker	creator,0.347709
draft	prospect,0.386927
leap	jump,0.411731
escort	limousine,0.366255
convention	forum,0.488599
white	black,0.686816
cite	publish,0.424935
friend	cousin,0.527885
hug	cuddle,0.445051
pomp	merriment,0.436683
way	unsteadiness,0.39589
cope	handle,0.517989
season	semester,0.496325
moscow	russia,0.536341
suit	costume,0.411719
discreet	subtle,0.430699
snatch	grab,0.506215
broadcast	coverage,0.435388
Tough	rough,0.536494
lazy	stubborn,0.469456
holder	washer,0.387068
than	then,0.419343
CARE	concern,0.411689
wide	width,0.370289
Love	adore,0.606738
co	county,0.53858
rival	rivalry,0.500392
stammer	fidget,0.393823
yet	already,0.46431
recruit	hire,0.488251
mindful	careful,0.490495
were	are,0.685721
badger	squirrel,0.516358
asleep	sleep,0.532237
extinguish	civilize,0.446266
counselor	therapist,0.576777
oath	covenant,0.4403
russia	germany,0.687353
tractor	truck,0.563457
prospect	recruit,0.478501
lick	rub,0.541204
angel	angle,0.427112
pro	professional,0.564464
premier	league,0.377915
sag	ecsc,0.342098
argument	disagreement,0.517183
slap	smack,0.70026
sad	upset,0.507742
dash	sprinkle,0.322802
threw	throw,0.576079
say	said,0.581853
slam	smash,0.456232
Call	refer,0.433997
rent	rental,0.527616
anger	frustration,0.587034
breakfast	dinner,0.67898
sap	consultant,0.384523
saw	seen,0.588162
bait	sly,0.393749
sat	saturday,0.5526
coach	director,0.450783
hasten	entreat,0.506504
clung	knelt,0.530549
squat	bicep,0.448478
veteran	former,0.47481
malta	austria,0.496503
note	reminder,0.374084
emphasis	elaboration,0.427681
wretch	bastard,0.398229
take	took,0.604403
interior	installation,0.435372
destroy	demolish,0.594363
concern	qualm,0.430452
blunt	cigarette,0.435422
channel	network,0.406387
dread	despise,0.439257
begin	began,0.61417
sure	convinced,0.425937
pain	sadness,0.563433
trace	affability,0.363909
normal	regular,0.535993
track	song,0.409813
price	discount,0.517343
knew	thought,0.57965
compress	condense,0.40752
surprise	shock,0.414818
paid	pay,0.578091
risen	rise,0.42297
assault	ammunition,0.462967
mutton	chicken,0.512286
pair	slice,0.377934
knee	ankle,0.743877
america	britain,0.544769
lawn	porch,0.469684
dream	nightmare,0.502974
proud	ashamed,0.587591
blockhead	loser,0.395139
sale	discount,0.532832
order	purchase,0.443957
scowl	sneer,0.564531
nuclear	missile,0.488797
senior	junior,0.632384
salt	sugar,0.513849
shop	store,0.637254
Denial	disbelief,0.424997
shot	shoot,0.502136
usurp	reassert,0.6259
show	shown,0.433898
german	italian,0.725161
cheap	inexpensive,0.565535
What	whatever,0.443602
friction	ambiguity,0.428596
veranda	porch,0.451718
trespass	theft,0.409028
bright	shiny,0.408807
therapist	counselor,0.576777
shoe	slipper,0.474865
hack	install,0.429019
threshold	barrier,0.412872
corner	table,0.442877
label	industry,0.378183
mister	mr.,0.688101
Roll	crumple,0.363737
hustler	hustle,0.42809
trot	hobble,0.411481
slot	unbind,0.416256
righteous	pious,0.483369
slow	fast,0.503916
ratio	percentage,0.5378
unkind	deceitful,0.474418
stair	fence,0.41636
favor	favour,0.769911
deck	box,0.4062
proportion	proportional,0.431205
enough	sufficient,0.454178
junior	senior,0.632384
sultan	commander,0.369542
only	easiest,0.380611
wood	plywood,0.514753
black	white,0.686816
enthusiasm	creativity,0.525283
stain	bruise,0.431717
wool	silk,0.522552
shrill	discordant,0.55077
first	fiftieth,0.503868
inventor	creator,0.467494
dissimilar	disadvantageous,0.541693
viewpoint	perspective,0.562461
get	glean,0.515686
straggler	prophesize,0.45102
cannon	fury,0.366445
lighten	thicken,0.456441
jazz	classical,0.550212
mission	crusade,0.444243
tailor	maid,0.394165
cheat	lie,0.450147
progress	improvement,0.489704
prime	deputy,0.345483
reveal	announce,0.481766
aluminum	aluminium,0.689999
artist	musician,0.591792
leather	fabric,0.479373
seldom	often,0.471528
borrow	lend,0.582
yield	inflation,0.441476
morning	afternoon,0.740668
joker	bane,0.441442
stupid	dumb,0.812754
landlord	tenant,0.533796
through	threw,0.552585
bought	buy,0.613684
where	wherein,0.43981
woke	woken,0.622263
husband	wife,0.649536
bulgaria	russia,0.617597
staff	personnel,0.557941
Shoulder	ankle,0.575007
concert	tour,0.516177
burst	explode,0.522836
float	slide,0.457916
Bite	lick,0.478732
eighteenth	sixteenth,0.705288
tranquil	serene,0.584857
seat	chair,0.517576
unfit	irresponsible,0.478606
college	university,0.592506
seal	tiger,0.402321
utopian	totalitarian,0.506343
stigma	discrimination,0.512161
calendar	planner,0.450842
sport	football,0.491385
diver	swimmer,0.546799
wonder	wander,0.461501
planet	earth,0.532361
detect	detection,0.51233
parent	father,0.454168
steadfast	unfailing,0.539342
morocco	ethiopia,0.662204
review	evaluation,0.461268
brace	ankle,0.411539
ornament	decoration,0.495891
forecast	western-europe,0.423109
outside	inside,0.4899
kilometer	kilometre,0.629095
bureau	department,0.522331
joy	happiness,0.519043
import	export,0.64828
dreamer	thinker,0.403584
across	along,0.407397
pitiless	avarice,0.627253
fight	fought,0.588368
august	july,0.816014
useful	helpful,0.693252
fearless	brave,0.452535
preach	amen,0.516981
flow	instrumental,0.364206
blame	rely,0.444272
adept	adroit,0.551422
concentrate	focus,0.656107
spare	lend,0.367076
invite	invitation,0.615322
Team	squad,0.595619
comeback	debut,0.50684
spark	flame,0.422557
come	came,0.59598
oust	topple,0.464545
libya	syria,0.655783
many	numerous,0.616524
trader	broker,0.448738
quiet	silent,0.533476
contract	extension,0.511111
temper	attitude,0.457262
unforeseen	unfavourable,0.501691
tour	concert,0.516177
gospel	bible,0.457889
inward	outward,0.532267
delirium	supernatural,0.412206
penal	expulsion,0.416619
Investment	equity,0.565093
evict	coerce,0.479784
comer	junta,0.411542
pakistan	india,0.721939
madness	craziness,0.531771
spoil	ruin,0.499873
cancer	disease,0.527449
adroit	ill-defined,0.59409
color	texture,0.465591
pot	weed,0.472594
curt	chad,0.488873
insist	intend,0.416288
exploit	encroach,0.482387
hope	glad,0.529193
cancel	postpone,0.490633
freak	creep,0.553202
endeavor	inviolable,0.403683
comprehend	fathom,0.656193
tamper	commensurate,0.461545
boat	canoe,0.541325
mare	hen,0.397799
unusual	peculiar,0.53885
Pain	sadness,0.563433
chad	curt,0.488873
lioness	lion,0.491899
harmless	innocent,0.497297
stretch	chafe,0.383422
west	east,0.771603
rebuild	restore,0.57704
vacation	holiday,0.660271
slum	suburb,0.410321
mark	marker,0.349612
breath	mouth,0.406045
workshop	exhibition,0.557221
peaceful	restful,0.535359
technical	financial,0.480584
reflex	mechanism,0.376799
engine	exhaust,0.403149
direction	swift,0.43595
devilish	evil,0.558843
reaction	response,0.62268
thousand	hundred,0.628389
valor	patriot,0.386612
tantrum	outburst,0.448051
dangerous	deadly,0.530249
tiger	lion,0.535747
wake	woke,0.560562
proven	prove,0.396475
Action	movement,0.397962
instant	automatic,0.437056
prussia	abyssinia,0.409798
former	deputy,0.496893
those	these,0.704676
countless	numerous,0.712741
case	charge,0.394649
shaft	axle,0.432693
myself	herself,0.669712
amend	amendment,0.63197
personnel	staff,0.557941
tribal	ethnic,0.478868
supportive	considerate,0.622662
cash	money,0.573114
trick	technique,0.345433
cast	guild,0.381905
cure	remedy,0.60712
editorial	article,0.555749
joke	humour,0.40786
scum	traitor,0.548024
mound	grove,0.462788
cherub	doll,0.384605
region	area,0.550417
Arrogant	egotistical,0.698252
program	programme,0.737684
aluminium	aluminum,0.689999
zenith	intrust,0.414104
soil	agriculture,0.457095
Good	decent,0.580067
them	him,0.616204
equal	equality,0.514769
cluster	munition,0.404668
exalt	extol,0.642253
clutter	coarseness,0.399362
graceful	dignified,0.555393
kenya	nigeria,0.615437
fame	popularity,0.446412
worry	fret,0.554631
tourist	visitor,0.448744
develop	build,0.52943
harsh	hurtful,0.555083
etc	blah,0.372492
media	technology,0.459624
bowl	cup,0.419355
confidant	well-informed,0.438066
same	exact,0.505795
check	subscribe,0.40437
gentlemen	gentleman,0.714571
ya	you,0.444418
poetic	lyrical,0.521341
speech	presentation,0.567882
document	file,0.526738
unemployed	jobless,0.603563
pan	pie,0.341149
breakdown	dilemma,0.462185
rome	paris,0.489354
finish	start,0.469071
swiss	belgian,0.529452
singapore	malaysia,0.661746
applaud	commend,0.632856
nest	sanctuary,0.382323
foam	fibreglass,0.42329
driver	mechanic,0.49945
companion	bosom,0.41251
driven	drove,0.482113
devoid	bereft,0.503728
fruit	vegetable,0.508884
barber	butcher,0.446269
speechless	breathless,0.494542
tradition	folklore,0.4311
nag	din,0.491697
costa	sardinia,0.429528
drain	boil,0.438476
theater	theatre,0.794042
pennsylvania	massachusetts,0.65568
no	any,0.375304
Slap	smack,0.70026
uproar	outrage,0.628186
demean	emasculate,0.627503
congressmen	congressman,0.532264
reward	recompense,0.43083
dimension	realm,0.436075
scholarship	college,0.474063
taxi	bus,0.591866
summer	spring,0.643853
outdoor	decorative,0.393081
affair	celebration,0.378462
livestock	cattle,0.531606
prowl	hunt,0.399143
being	be,0.363292
fume	convulse,0.378019
battleship	submarine,0.419291
slime	savage,0.364274
rest	remainder,0.582686
Ban	boycott,0.514267
steamer	washer,0.429606
kill	strangle,0.591673
actor	singer,0.591191
aspect	standpoint,0.486535
abrupt	equivocal,0.522234
touch	straggle,0.374517
polish	italian,0.545084
flavor	flavour,0.766397
speed	pace,0.465834
Christ	god,0.538427
blow	shove,0.439781
sprang	crept,0.489179
death	suicide,0.417125
Kick	smack,0.510006
shrewd	astute,0.567954
rose	flower,0.475506
regent	exam,0.389215
senseless	idiotic,0.486612
except	especially,0.566066
instrument	guitar,0.491943
dipper	pig,0.37013
pile	heap,0.569874
treatment	diagnosis,0.506065
overthrow	subjugate,0.521834
stagnant	sluggish,0.435094
struck	strike,0.445593
bread	toast,0.572128
disrupt	undermine,0.472704
pill	medicine,0.437033
momentum	credibility,0.461874
real	true,0.417689
northeast	southeast,0.632931
frown	smile,0.506754
spectacular	magnificent,0.672972
read	write,0.514108
ruler	sword,0.422967
virginia	iowa,0.674472
gonna	gone,0.493444
period	class,0.395622
dark	murky,0.427214
earnest	amiable,0.43783
snarl	growl,0.538564
traffic	congestion,0.470471
darn	damn,0.745534
detract	distract,0.547884
tie	tying,0.446308
stunt	spin,0.374689
snare	drum,0.49699
execution	implementation,0.481902
lady	woman,0.564268
grim	bleak,0.581334
dare	hesitate,0.378913
boast	brag,0.596344
snore	growl,0.470007
stranger	creep,0.425445
sneer	scowl,0.564531
twin	sister,0.472337
roll	crumple,0.363737
shutter	flatness,0.345531
chamber	council,0.406855
benefit	cost,0.452847
either	unless,0.489832
Hack	install,0.429019
output	production,0.573797
tower	bridge,0.453518
nice	lovely,0.538741
obstruct	impede,0.523937
falsehood	untruth,0.554476
sleepless	restless,0.435789
verbal	nonverbal,0.482864
witchcraft	metaphysics,0.436685
ascend	descry,0.357487
draw	drawn,0.540062
pacific	eastern,0.547454
intend	plan,0.427033
stagecoach	bus,0.405058
intact	tact,0.466262
ascent	inhabitant,0.418438
extinct	unnoticed,0.435158
gross	disgusting,0.761829
slice	piece,0.471422
mood	attitude,0.417132
confirm	announce,0.585818
sudan	somalia,0.591894
monitor	improve,0.397496
noon	midnight,0.568645
lend	borrow,0.582
seaman	nobleman,0.396021
legal	illegal,0.49301
moon	sky,0.41995
pioneer	visionary,0.400499
throat	stomach,0.578682
Person	guy,0.50502
exit	entrance,0.407377
inject	infect,0.479137
underworld	underground,0.409794
gladden	betroth,0.476771
baptism	communion,0.524293
porter	baker,0.447346
refer	classify,0.506297
football	baseball,0.676882
wheat	corn,0.605561
reasonable	logical,0.570366
power	electricity,0.475905
poem	poetry,0.521569
sixth	seventh,0.653464
ration	replenish,0.423708
broker	mortgage,0.496582
slaughter	murder,0.484124
Drive	drove,0.581771
squall	storm,0.443968
broken	broke,0.512491
leadership	evangelism,0.570459
bravado	recklessness,0.490907
hectic	chaotic,0.552194
Rock	metal,0.416681
standpoint	aspect,0.486535
thailand	taiwan,0.626837
throw	shove,0.577225
companionship	exclusiveness,0.440858
comparison	analogy,0.496834
stone	marble,0.411401
patent	antitrust,0.484464
central	eastern,0.55358
tease	taunt,0.467836
jeep	car,0.623907
island	beach,0.366556
jeer	capitulate,0.413735
hiatus	vacation,0.411355
drag	hurtle,0.407782
Trade	exchange,0.459759
janitor	superintendent,0.498917
wolf	squirrel,0.404199
stand	stood,0.49168
neighbor	neighbour,0.771574
act	behave,0.393395
bond	issuance,0.360413
or	nor,0.513738
road	highway,0.564954
tribe	nation,0.423854
outlook	viewpoint,0.451407
dagger	knife,0.41391
burial	funeral,0.542713
ward	baker,0.411861
surinam	hong-kong,0.518993
rice	chicken,0.538891
hanger	rope,0.446062
lively	delightful,0.451321
strip	nude,0.36174
your	my,0.619856
corsica	sardinia,0.54032
stare	glare,0.51955
fast	quick,0.544147
burglar	robber,0.611827
log	install,0.380256
her	him,0.581852
rhode	massachusetts,0.557331
gleam	sparkle,0.485862
glean	procure,0.569095
there	here,0.511573
totalitarian	authoritarian,0.602167
brute	ferocity,0.418269
stark	villain,0.362949
start	begin,0.530648
drank	drink,0.638258
insurance	mortgage,0.506974
Letter	message,0.447622
garment	greatcoat,0.449483
hen	nay,0.409949
hysterical	hilarious,0.676607
admit	confess,0.532433
verb	noun,0.627896
hard	difficult,0.529066
mischief	chaos,0.458192
jug	bottle,0.529682
fanatic	addict,0.498686
regard	relation,0.463686
sore	swollen,0.610075
cabinet	refrigerator,0.473431
shroud	greatcoat,0.42417
land	lure,0.364225
recoil	exasperation,0.373771
upbeat	optimistic,0.565508
mice	mouse,0.505808
with	wit,0.718789
Plain	pure,0.437679
handsome	gorgeous,0.563916
pull	shove,0.497729
hire	employ,0.622877
curtail	restrict,0.600108
romantic	romance,0.502066
rage	anger,0.419243
default	neutrality,0.405128
flirt	interact,0.453648
esteem	confidence,0.506406
feeler	nag,0.417432
grasp	comprehend,0.59266
conqueror	master,0.369411
deadlock	impasse,0.535244
powerless	helpless,0.52282
affection	admiration,0.487858
beware	careful,0.461162
toilet	bathroom,0.617702
ruffian	nobleman,0.482176
oxen	steppes,0.418807
citizenship	naturalization,0.495593
fright	vexation,0.41735
taste	smell,0.553029
frighten	scare,0.6098
pole	gymnastic,0.383518
censor	censorship,0.464377
deep	profound,0.445294
an	literalness,0.366412
alarm	clock,0.404302
Hot	cute,0.418718
deem	economize,0.33943
at	in,0.419486
file	folder,0.537509
ax	axe,0.439632
mover	move,0.345515
horse	goat,0.519204
match	clash,0.510083
bishop	pastor,0.529741
film	movie,0.719684
fill	inflate,0.456538
tedious	monotonous,0.634339
abyss	expanse,0.477289
idiot	retard,0.593862
deserve	expect,0.432201
compel	endear,0.521897
repent	repentance,0.4776
event	exhibition,0.540631
rubber	plastic,0.49275
tight	loose,0.378394
vietnam	thailand,0.589284
you	they,0.535218
fruitless	futile,0.552429
championship	champ,0.549266
authoritarian	autocratic,0.65922
oneself	yourself,0.593816
congress	senate,0.658086
shelter	refuge,0.459315
symbol	symbolism,0.420625
time	unsteadiness,0.377796
drift	fade,0.416548
brandy	dolly,0.465304
important	vital,0.531055
peak	bleak,0.342888
brotherhood	feudalism,0.454699
roosevelt	marshall,0.428865
brass	steel,0.524881
prudent	shrewd,0.516491
range	selection,0.373676
pool	pond,0.534288
diction	grammar,0.480078
fiscal	economic,0.612184
bulk	wholesale,0.457649
unbind	assuredness,0.622873
wife	husband,0.649536
invest	buy,0.4712
thorn	deadweight,0.364459
groom	bride,0.521905
Yeah	yea,0.858165
Point	distinction,0.35681
principal	superintendent,0.578528
repay	repaid,0.484243
mast	hen,0.363487
mass	ritual,0.366773
missouri	iowa,0.725483
alright	okay,0.797683
nutrient	supplement,0.492172
oral	interpersonal,0.441848
original	authentic,0.458048
demo	demonstration,0.498325
represent	reassert,0.403232
all	both,0.421585
nepal	india,0.603213
liar	cheater,0.651683
forget	forgot,0.542504
vile	disgusting,0.794854
maximum	minimum,0.497262
suburban	rural,0.496827
lack	inconsistency,0.468934
dollar	pound,0.449265
pta	gambia,0.406774
month	week,0.70459
sunk	sank,0.593524
thoughtful	respectful,0.580075
bequeath	betroth,0.559665
zinc	calcium,0.484424
communist	socialist,0.668976
dish	rice,0.420747
follow	subscribe,0.417473
research	survey,0.528634
religious	nationalistic,0.573186
